cellID,cx,cy,p1,p2,p3,nbr12,nbr23,nbr31,n12x,n12y,n23x,n23y,n31x,n31y
1223,-0.397663940434432,-0.404817786476909,1084,589,590,1410,989,1156,0.0730029004222869,0.997331728428377,-0.766683510273666,-0.642025229313031,0.874139971225651,-0.485674078684067
1224,0.249185012484265,-0.201452958355258,909,658,869,1653,1431,1274,0.963472168773813,0.267808476337635,-0.797479632951619,0.603345866835392,-0.0808007782143689,-0.996730271557934
1225,0.377832268071076,-0.22768901627844,848,847,740,1709,1255,1626,-0.99983794597264,0.0180022718903141,0.52330393344421,-0.852146110266201,0.501503756751638,0.865155466932963
1226,0.105878411856207,0.412475429575811,672,545,546,1283,987,1227,0.867132319877307,-0.498077845144914,-3.66373598126304e-15,1.0,-0.881962945525015,-0.471318748535255
1227,0.0905611963619252,0.403513596789876,672,546,673,1226,996,1560,0.881962945525015,0.471318748535255,-0.864262468747326,0.50304113660294,-0.0146817002899671,-0.999892218029821
1228,-0.255054427254,0.164151146401137,897,501,650,1260,913,1715,-0.22289484255376,-0.974842494541008,0.887627962405475,0.460561179818604,-0.795913392000409,0.605410499111473
1229,-0.402705015675107,0.15094008188806,695,694,571,1261,1210,873,0.999393446591269,0.0348244010777619,-0.503173222831182,0.86418557487711,-0.496861504664637,-0.867829848059165
1230,-0.243069438596854,-0.386078076723187,823,715,716,909,1369,1485,-0.856206523454952,0.516633708920725,-0.0399264554139691,-0.999202621172541,0.859440532276164,0.511235729855478
1231,-0.273429969734937,-0.403461582853611,715,714,594,1406,1220,1368,-0.0137803134807479,0.999905046972147,-0.858073539624051,-0.513526825586603,0.889961494215086,-0.456035677128941
1232,0.404159855314522,0.212121212121212,755,754,637,1610,1286,1152,-1.0,-0.0,0.501503756751622,-0.865155466932973,0.501503756751626,0.86515546693297
1233,0.219009075308926,0.197646087210523,868,769,513,1345,1153,1086,-0.176333847188475,0.984330419288011,-0.858977800117936,-0.512012830800705,0.908244077567824,-0.41844079098837
1234,-0.165560184069886,-0.376533204703756,825,718,826,1548,1235,1469,-0.879221907356705,-0.476412465857095,0.868744659332652,-0.495260251666732,-0.0449958652405387,0.99898717314651
1235,-0.150653634347817,-0.38490181988548,826,718,719,1234,1170,1498,-0.868744659332652,0.495260251666732,0.0402467532780082,-0.999189771189927,0.874603857439699,0.484838212759266
1236,0.24728348870783,-0.119169470225835,1105,520,364,1535,929,505,0.994846104977882,-0.101396387560589,-0.195922870956204,0.980619308720912,-0.528478405783933,-0.848946744277916
1237,0.270970810042475,-0.17614401379571,908,898,658,1824,1091,1653,0.821730739096015,0.569875944767559,-0.821892047625382,0.56964327613881,-0.130731255207098,-0.991417842744408
1238,-0.22723270607955,0.378132605663026,790,683,791,1154,627,1748,0.849442715137576,0.52768084454498,-0.860777821748042,0.508980885286172,0.0343902829839665,-0.999408479269754
1239,-0.15084961493102,0.403390475083298,680,554,681,1166,531,1355,0.86311217977342,0.505012242551381,-0.891557029760018,0.452908448458952,0.0066171855180952,-0.99997810618824
1240,0.412447283831964,-0.13620546148798,743,625,626,1241,901,928,-0.495202333281178,-0.8687776753076,1.0,-2.56461518688411e-14,-0.471992385780762,0.881602624635944
1241,0.403181894648241,-0.151085862355974,743,742,625,853,1090,1240,-0.999918742762797,0.0127478575324091,0.458434950458928,-0.888727965238925,0.495202333281178,0.8687776753076
1242,0.0298532167005367,-0.403699730910314,724,604,725,1284,1258,1243,-0.86540791564345,-0.501067998919966,0.888273555407999,-0.459314805730048,-0.0412868296956772,0.999147335328319
1243,0.0293431984226207,-0.385579883524386,832,724,725,1271,1242,1573,-0.903152419676531,0.429320051747444,0.0412868296956772,-0.999147335328319,0.867798648322245,0.496915994882519
1244,-0.0757575757575761,-0.412872595740475,721,600,601,1245,1063,859,-0.865155466932967,0.501503756751632,0.0,-1.0,0.865155466932967,0.501503756751631
1245,-0.0908371399636781,-0.403812497547693,721,720,600,1384,918,1244,0.0346143745753348,0.999400742981892,-0.876399649895434,-0.481584523903292,0.865155466932967,-0.501503756751632
1246,-0.0436346650917497,0.376649898101196,784,677,785,1508,1444,1376,0.844779776822976,0.535114126771965,-0.893712925773143,0.448639283061581,0.02186856856037,-0.999760854259217
1247,0.0302225564090141,0.303995208495565,880,508,653,1472,922,1788,-0.971555844269236,-0.236810560293013,0.744682323577548,-0.667419086445049,0.200296090147468,0.979735411359433
1248,-0.0475125210106605,0.29011830798818,652,506,507,1538,949,1521,-0.926410606949547,0.376514790322203,0.0951550173374362,-0.995462466733685,0.780241211846651,0.625478737717014
